127.0.0.1 - - [24/Mar/2023:19:03:27 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:03:32 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 1903
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:03:32 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:03:32 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:03:32 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:03:32 +0530] "GET /BookStoreWebsite/js/jquery-3.6.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:03:42 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/home.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/category.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/customer.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/review.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/book.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:01 +0530] "GET /BookStoreWebsite/images/order.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:04:04 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:18 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1892
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:32 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:32 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 3015
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:34 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:36 +0530] "GET /BookStoreWebsite/admin/category_form.jsp HTTP/1.1" 200 3431
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:41 +0530] "POST /BookStoreWebsite/admin/create_category HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:19:52:41 +0530] "GET /BookStoreWebsite/admin/list_category HTTP/1.1" 200 3364
