127.0.0.1 - - [05/Apr/2023:13:02:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 208791
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /BookStoreWebsite/js/jquery-3.6.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /BookStoreWebsite/js/jquery.richtext.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:02:59 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:11:21 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 212704
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:11:21 +0530] "GET /BookStoreWebsite/images/rating_off.png%22/ HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:11:21 +0530] "GET /BookStoreWebsite/images/rating_on.png%22/ HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:11:21 +0530] "GET /BookStoreWebsite/images/rating_half.png%22/ HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:11:25 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css.map HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:13:28 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css.map HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:13:28 +0530] "GET /BookStoreWebsite/images/back.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:13:50 +0530] "GET /BookStoreWebsite/images/rating_off.png%22/ HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:13:50 +0530] "GET /BookStoreWebsite/images/js/jquery-3.6.4.min.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:13:50 +0530] "GET /BookStoreWebsite/images/css/style.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:13:50 +0530] "GET /BookStoreWebsite/images/js/jquery.validate.min.js HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:14:37 +0530] "GET /BookStoreWebsite/images/rating_off.png%22/ HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:14:37 +0530] "GET /BookStoreWebsite/images/css/style.css HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [05/Apr/2023:13:14:37 +0530] "GET /BookStoreWebsite/images/js/jquery-3.6.4.min.js HTTP/1.1" 404 747
