127.0.0.1 - - [02/Jun/2023:19:12:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css HTTP/1.1" 200 145933
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/js/jquery.richtext.min.js HTTP/1.1" 200 50727
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24601
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 759707
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:45 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [02/Jun/2023:19:12:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
