127.0.0.1 - - [07/Aug/2023:20:17:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/js/jquery.richtext.min.js HTTP/1.1" 200 50727
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 200 1416
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/bootstrap/bootstrap.css HTTP/1.1" 200 145933
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 759707
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/images/rating_half.png HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/js/jquery.validate.min.js HTTP/1.1" 200 24601
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:29 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 759707
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:45 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 38239
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:17:54 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 759707
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:18:15 +0530] "GET /BookStoreWebsite/ad HTTP/1.1" 404 747
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:18:15 +0530] "GET /js/jquery-3.6.4.min.js HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:18:15 +0530] "GET /js/jquery.validate.min.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:18:15 +0530] "GET /css/style.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:18:15 +0530] "GET /BookStoreWebsite/images/BookstoreAdminLogo.png HTTP/1.1" 200 30729
0:0:0:0:0:0:0:1 - - [07/Aug/2023:20:18:15 +0530] "GET /BookStoreWebsite/images/back.png HTTP/1.1" 200 662
